iter	Passed	Remaining
399	73944	110917
400	74122	110721
401	74337	110581
402	74541	110424
403	74760	110290
404	75001	110188
405	75184	109998
406	75403	109863
407	75599	109694
408	75821	109561
409	76012	109383
410	76222	109232
411	76386	109018
412	76571	108832
413	76758	108647
414	76948	108469
415	77150	108307
416	77338	108125
417	77523	107939
418	77723	107773
419	77900	107577
420	78088	107394
421	78271	107205
422	78458	107022
423	78645	106839
424	78836	106660
425	79031	106487
426	79212	106296
427	79394	106106
428	79595	105941
429	79781	105757
430	79969	105575
431	80153	105387
432	80349	105215
433	80528	105020
434	80711	104832
435	80906	104658
436	81102	104486
437	81300	104317
438	81492	104139
439	81677	103953
440	81869	103775
441	82052	103586
442	82254	103421
443	82449	103247
444	82648	103078
445	82826	102882
446	83014	102699
447	83207	102523
448	83408	102356
449	83586	102161
450	83781	101986
451	83971	101806
452	84159	101622
453	84337	101428
454	84530	101251
455	84716	101064
456	84933	100916
457	85122	100734
458	85304	100544
459	85486	100353
460	85669	100164
461	85846	99968
462	86050	99804
463	86236	99617
464	86423	99433
465	86610	99248
466	86809	99077
467	86998	98895
468	87181	98706
469	87373	98527
470	87564	98347
471	87746	98156
472	87951	97991
473	88126	97794
474	88331	97629
475	88528	97455
476	88729	97286
477	88943	97131
478	89160	96978
479	89394	96843
480	89596	96674
481	89815	96524
482	90026	96364
483	90235	96201
484	90456	96051
485	90673	95897
486	90900	95753
487	91117	95598
488	91332	95441
489	91552	95289
490	91765	95130
491	91990	94982
492	92199	94817
493	92405	94650
494	92606	94477
495	92798	94294
496	93010	94133
497	93188	93937
498	93379	93753
499	93577	93577
500	93770	93395
501	93960	93211
502	94156	93033
503	94356	92859
504	94558	92685
505	94736	92490
506	94924	92303
507	95114	92118
508	95317	91946
509	95503	91758
510	95692	91572
511	95881	91386
512	96076	91207
513	96277	91032
514	96459	90840
515	96661	90667
516	96850	90481
517	97058	90313
518	97255	90135
519	97454	89957
520	97650	89778
521	97844	89596
522	98033	89411
523	98225	89227
524	98423	89050
525	98616	88867
526	98822	88696
527	99027	88524
528	99226	88347
529	99419	88164
530	99618	87986
531	99805	87799
532	100000	87617
533	100189	87431
534	100371	87238
535	100562	87054
536	100754	86869
537	100941	86682
538	101125	86491
539	101315	86305
540	101504	86119
541	101718	85953
542	101912	85771
543	102121	85601
544	102307	85412
545	102487	85218
546	102689	85042
547	102915	84886
548	103117	84709
549	103335	84547
550	103524	84360
551	103726	84183
552	103937	84014
553	104127	83828
554	104340	83660
555	104544	83485
556	104750	83311
557	104972	83150
558	105169	82968
559	105385	82802
560	105602	82636
561	105834	82483
562	106046	82313
563	106255	82141
564	106459	81964
565	106680	81801
566	106898	81635
567	107121	81472
568	107350	81314
569	107568	81148
570	107783	80979
571	107997	80809
572	108201	80631
573	108421	80465
574	108621	80285
575	108837	80116
576	109035	79934
577	109240	79756
578	109424	79564
579	109611	79374
580	109801	79185
581	109997	79001
