iter	MultiClass
291	0.1746283091
292	0.173695033
293	0.172948341
294	0.1699507406
295	0.1665939645
296	0.1657801479
297	0.1652605513
298	0.1642771672
299	0.1634571636
300	0.1626434289
301	0.1619183618
302	0.1615291137
303	0.1611385615
304	0.1604315538
305	0.1595789748
306	0.1590062202
307	0.1584696495
308	0.1579155815
309	0.1575976857
310	0.1566795198
311	0.1561125458
312	0.155629028
313	0.1526400226
314	0.1519624408
315	0.1516249169
316	0.1510706995
317	0.1504395118
318	0.1497431838
319	0.1491477914
320	0.1484692332
321	0.1478583436
322	0.1472268249
323	0.1465882403
324	0.1459396547
325	0.1451747404
326	0.1447870469
327	0.1443455319
328	0.143949469
329	0.1435010271
330	0.1429991797
331	0.1425799888
332	0.142006917
333	0.1414164776
334	0.1408563003
335	0.1402781208
336	0.139652022
337	0.1388655393
338	0.1387940583
339	0.1383243853
340	0.1379148919
341	0.137295613
342	0.1366706203
343	0.1360294365
344	0.1333834721
345	0.1327679969
346	0.132235421
347	0.1316267765
348	0.1311482029
349	0.1305176283
350	0.1300772318
351	0.129601394
352	0.12917626
353	0.1286010206
354	0.1281591988
355	0.1277868551
356	0.1272988892
357	0.1269044567
358	0.1263064346
359	0.1262009653
360	0.1247848919
361	0.124302237
362	0.1239375909
363	0.1235259531
364	0.1231872558
365	0.1226984027
366	0.1222268673
367	0.121951051
368	0.121496837
369	0.1211053452
370	0.1210078275
371	0.1206529809
372	0.120210454
373	0.1198665023
374	0.1194725136
375	0.1190620267
376	0.1186905599
377	0.118174025
378	0.1179353362
379	0.1175752762
380	0.1171918742
381	0.1168647375
382	0.116492356
383	0.1159936365
384	0.1155212237
385	0.1132485258
386	0.1130212602
387	0.11266529
388	0.1122124713
389	0.1118131783
390	0.111515809
391	0.1094187542
392	0.1091396022
393	0.1086979605
394	0.1083835441
395	0.108112227
396	0.1077219972
397	0.1075128435
398	0.1072385078
399	0.1069365848
400	0.1065528028
401	0.106183437
402	0.1057637927
403	0.1054958575
404	0.1052277865
405	0.1049263044
406	0.102911594
407	0.1025086257
408	0.1022581811
409	0.1019343639
410	0.1016197108
411	0.1013372541
412	0.1010751913
413	0.09981918983
414	0.09956809235
415	0.09937557156
416	0.0990761876
417	0.09882836497
418	0.09852264602
419	0.09829321697
420	0.09799960143
421	0.09775204909
422	0.09738463106
423	0.09711434035
424	0.09677824709
425	0.09640399083
426	0.09611303857
427	0.09590011351
428	0.09562826044
429	0.09538899102
430	0.09518665094
431	0.09341030693
432	0.09308872387
433	0.09279067569
434	0.09262296831
435	0.09228540998
436	0.09218020238
437	0.09187235442
438	0.09154705064
439	0.091392336
440	0.09106751994
441	0.09102068872
442	0.09083179934
443	0.08926508249
444	0.08911086003
445	0.08885711026
446	0.08865968849
447	0.08844440796
448	0.08821242096
449	0.08800773366
450	0.08772795578
451	0.087420478
452	0.08723254186
453	0.08710662165
454	0.08690848039
455	0.08657721972
456	0.08630987667
457	0.08613067195
458	0.08592699958
459	0.08586953254
460	0.0857241541
461	0.08549959659
462	0.08521096714
463	0.08500721517
464	0.08479455344
465	0.08452855692
466	0.08437769851
467	0.08421049012
468	0.08394564685
469	0.08251591216
470	0.08222890839
471	0.0820126223
472	0.08179715822
473	0.08142144307
474	0.08124949539
475	0.08101485469
476	0.08085080398
477	0.08066848661
478	0.08045763393
479	0.08021213812
480	0.08006312421
481	0.07992389188
482	0.07979074708
483	0.07964669584
484	0.07937205653
485	0.07917324796
486	0.07895996881
487	0.07873728938
488	0.07855049704
489	0.07841712553
490	0.07820200158
491	0.07799824303
492	0.07778743873
493	0.07767517035
494	0.07758241731
495	0.07735873043
496	0.07718502825
497	0.07701566512
498	0.07691955479
499	0.07678523125
500	0.07665639312
501	0.07643375438
502	0.0762373862
503	0.0748452513
504	0.07466107925
505	0.07454507401
506	0.07441251785
507	0.07422937857
508	0.07406436873
509	0.07400117939
510	0.07389973971
511	0.07365799377
512	0.07356917106
513	0.07339449395
514	0.07210435902
515	0.07190009481
516	0.07181823383
517	0.07161640498
518	0.07145810289
519	0.07130658082
520	0.07112214034
521	0.07096345947
522	0.07080632282
523	0.07061122177
524	0.07046427769
525	0.07032478798
526	0.07020862564
527	0.07007767111
528	0.0699034384
529	0.06971884823
530	0.06954493062
531	0.06949204327
532	0.06924886104
533	0.06912212228
534	0.06904257359
535	0.06890512482
536	0.06801462994
537	0.06784232642
538	0.06770266356
539	0.06757312205
540	0.06742275785
541	0.06731546386
542	0.06717883131
543	0.06702702529
544	0.06665891024
545	0.06653951332
546	0.06639521605
547	0.06622404711
548	0.06606983615
549	0.06591609737
550	0.06578646443
551	0.06553033685
552	0.06547376531
553	0.06532290993
554	0.06517483541
555	0.06507227355
556	0.06492153653
557	0.06481791467
558	0.06480219435
559	0.06441170774
560	0.06429681287
561	0.06422453834
562	0.06411860202
563	0.06301324557
564	0.06288408318
565	0.06280718785
566	0.06264661913
567	0.06253656566
568	0.06242283413
569	0.06231487539
570	0.06220984914
571	0.06211336775
572	0.06197959317
573	0.06190460377
574	0.06174362216
575	0.06160264768
576	0.06152180233
577	0.06141980044
578	0.06128253158
579	0.06114739546
580	0.06057801344
581	0.06046338846
582	0.06039253676
583	0.05946570867
584	0.05935834349
585	0.05924990726
586	0.05839705889
587	0.05788446646
588	0.0577853934
589	0.0577664141
590	0.05765724347
591	0.05756163507
592	0.0574396398
593	0.05718296497
594	0.05711700794
595	0.05700757206
596	0.05691744138
597	0.05680971465
598	0.05670987936
599	0.05665991783
600	0.05653265696
601	0.0564759712
602	0.05640710949
603	0.05628447218
604	0.05618633298
605	0.05609344729
606	0.05602209686
607	0.0558661707
608	0.05578411297
609	0.05566619091
610	0.05556983313
611	0.05550538194
612	0.05540279407
613	0.0553361744
614	0.05505886313
615	0.05494236439
616	0.05485233475
617	0.05475579952
618	0.05464115534
619	0.05452943082
620	0.05436130574
621	0.05424589804
622	0.05415922957
623	0.05409349529
624	0.05404145833
625	0.05394940117
626	0.05386024909
627	0.05375577697
628	0.05303768338
629	0.05297828996
630	0.05224079048
631	0.05216270449
632	0.0520720324
633	0.05199269857
634	0.05192396445
635	0.0518251903
636	0.05175438304
637	0.05168270697
638	0.05161848395
639	0.05151853781
640	0.05080989487
641	0.0507318028
642	0.05062728793
643	0.05052636075
644	0.05043109062
645	0.05033330895
646	0.05025822518
647	0.0501693226
648	0.05012174772
649	0.05004198691
650	0.04996491473
651	0.04988336545
652	0.04983655866
653	0.04974766697
654	0.0496425785
655	0.04923222894
656	0.04915128878
657	0.04909838128
658	0.04905327593
659	0.04896554161
660	0.04888277601
661	0.0488073446
662	0.04872387891
663	0.04862084082
664	0.04855505754
665	0.04846421734
666	0.04839666292
667	0.04833433195
668	0.04830224267
669	0.04822516612
670	0.04818769167
671	0.04810711667
672	0.04803673871
673	0.04795537238
674	0.0478534514
675	0.04778202441
676	0.04769683232
677	0.04764019591
678	0.04754922654
679	0.04747263974
680	0.04709166984
681	0.04702022096
682	0.04692896579
683	0.04678600144
684	0.04619305088
685	0.0461072696
686	0.04606936256
687	0.04560165138
688	0.04554312616
689	0.04549866892
690	0.04547506309
691	0.04538544164
692	0.04531054047
693	0.0452630173
694	0.04522068711
695	0.04515367367
696	0.04510191286
697	0.045034193
698	0.04493980988
699	0.0447891573
700	0.04474608718
701	0.04467349375
702	0.04461099446
703	0.04456048328
704	0.0442150748
705	0.04417626325
706	0.04411725272
707	0.04404139941
708	0.04397103318
709	0.04391507755
710	0.04385615798
711	0.04378792577
712	0.04373156389
713	0.04365235985
714	0.04359340407
715	0.04357843742
716	0.04350036333
717	0.04343859278
718	0.04335260092
719	0.04274855438
720	0.04268983279
721	0.04267596891
722	0.04256414915
723	0.04249666173
724	0.04248248935
725	0.04212937727
726	0.04203454605
727	0.04140002249
728	0.04133929869
729	0.04127405658
730	0.04125222928
731	0.04118465356
732	0.04113000211
733	0.04110337689
734	0.04105777766
735	0.04060434994
736	0.04054136598
737	0.04047418422
738	0.04041400123
739	0.04036670869
740	0.04032386776
741	0.04026489427
742	0.04003947436
743	0.03996981318
744	0.03991454852
745	0.03985549501
746	0.03981880873
747	0.03977063353
748	0.03973084954
749	0.03966359059
750	0.03963706044
751	0.03957300573
752	0.03951598766
753	0.03944747285
754	0.03942297582
755	0.03936223974
756	0.03932665386
757	0.03919368482
758	0.03917698815
759	0.03914210695
760	0.03910984668
761	0.03907406077
762	0.03902100255
763	0.03898762068
764	0.03894027439
765	0.0389033223
766	0.03864328034
767	0.03860276462
768	0.03854246689
769	0.03848618894
770	0.03820568948
771	0.03815892653
772	0.03810731836
773	0.03793461367
774	0.03789173922
775	0.03788405883
776	0.03786289039
777	0.03780354223
778	0.03774362173
779	0.03769535882
780	0.03765729981
781	0.03761762321
782	0.03757195488
783	0.03751273582
784	0.03730832961
785	0.03726952419
786	0.0372260235
787	0.03717732744
788	0.0371254918
789	0.03709870974
790	0.03705465407
791	0.03702004204
792	0.03692125215
793	0.0368995647
794	0.03684644059
795	0.03680085395
796	0.03674573106
797	0.03671031309
798	0.03658390494
799	0.03653431943
800	0.03645704531
801	0.03641233812
802	0.03635602682
803	0.03631704524
804	0.03586028388
805	0.03579849406
806	0.03575768137
807	0.03573804738
808	0.03569308641
809	0.03564282611
810	0.03557819395
811	0.0355446748
812	0.03550627448
813	0.03546828361
814	0.03541873816
815	0.03537818372
816	0.03533752304
817	0.03531967889
818	0.03527938103
819	0.03524353572
820	0.0351890301
821	0.03515399933
822	0.03511015265
823	0.0350603813
824	0.03498256065
825	0.0349361923
826	0.03489771476
827	0.0348430717
828	0.03481381823
829	0.03477005049
830	0.03445886422
831	0.03442791845
832	0.0343848634
833	0.0343434676
834	0.03430251434
835	0.03425820096
836	0.03413503539
837	0.03410717
838	0.034069076
839	0.03405027807
840	0.03400528915
841	0.03396378976
842	0.03392910954
843	0.03387684995
844	0.03383946127
845	0.03381746246
846	0.03377460793
847	0.03373437463
848	0.03368371214
849	0.03354106761
850	0.03350278507
851	0.03347287702
852	0.03344899638
853	0.03340116297
854	0.0333609318
855	0.03334393548
856	0.03330449181
857	0.03325823073
858	0.0332152001
859	0.03318331903
860	0.03313291406
861	0.0330954698
862	0.03305462707
863	0.03301802796
864	0.03297855596
865	0.03292360354
866	0.03289940783
867	0.03262974594
868	0.03259167579
869	0.03256189155
870	0.03252741679
871	0.03249663358
872	0.03236810053
873	0.03234472942
874	0.03230406857
875	0.03228782656
876	0.03205126364
877	0.03202144996
878	0.03174560202
879	0.03171201432
880	0.03159847737
881	0.03157716836
882	0.03153927672
883	0.03151332845
884	0.03150195388
885	0.03146894387
886	0.03143865147
887	0.03143103922
888	0.0313953166
889	0.031364046
890	0.03134002092
891	0.03131232523
892	0.03127077272
893	0.03124883373
894	0.03120730463
895	0.03117755875
896	0.03115512071
897	0.03113477254
898	0.03110035649
899	0.03106318852
900	0.03103275072
901	0.03100444856
902	0.03097656333
903	0.03094013561
904	0.03091755915
905	0.03060751252
906	0.03056755741
907	0.03053948627
908	0.03051671571
909	0.03048361496
910	0.03046739721
911	0.03041141347
912	0.03022733693
913	0.03020427505
914	0.03017720645
915	0.03015030211
916	0.03012317812
917	0.03009043959
918	0.03005478115
919	0.03002713351
920	0.03000254351
921	0.02997231611
922	0.02993032887
923	0.02989872156
924	0.02985060662
925	0.02982637138
926	0.02978134531
927	0.02976778383
928	0.02974107999
929	0.02972170722
930	0.02969080342
931	0.02966981997
932	0.02964197091
933	0.02956711189
934	0.02938259887
935	0.02937062814
936	0.02933197023
937	0.02929728252
938	0.02927291752
939	0.02924463463
940	0.02915832596
941	0.02913965194
942	0.02911142068
943	0.02908269401
944	0.02905687544
945	0.02902577681
946	0.02900865469
947	0.02896191774
948	0.02893208334
949	0.02892046751
950	0.02889013967
951	0.02885773132
952	0.0288415906
953	0.02882248325
954	0.02881837837
955	0.02878723301
956	0.02863168342
957	0.02860472931
958	0.02858960634
959	0.02830829827
960	0.02828083856
961	0.02825757683
962	0.02823016185
963	0.02821210587
964	0.02819524226
965	0.0281680423
966	0.02814309047
967	0.02812023435
968	0.02803298548
969	0.02800874896
970	0.02799225699
971	0.02772825162
972	0.02770086248
973	0.02767184011
974	0.02764295432
975	0.0276222041
976	0.02759548956
977	0.02756443341
978	0.02753662962
979	0.0274545844
980	0.02742723005
981	0.02740567167
982	0.02718672955
983	0.0270417964
984	0.02701523173
985	0.02698666844
986	0.02696201455
987	0.02693202455
988	0.02690439982
989	0.02687830196
990	0.02679632013
991	0.02676858032
992	0.02674067864
993	0.02669846796
994	0.02667612225
995	0.02665648302
996	0.02662475511
997	0.02660002326
998	0.02657747573
999	0.02655646809
